store_id,product_id,current_stock,reorder_level,unit_cost,selling_price
ST01,PRD001,12,35,450.0,899.0
ST01,PRD002,47,30,1800.0,3499.0
ST01,PRD003,41,30,350.0,799.0
ST01,PRD004,87,30,900.0,1999.0
ST01,PRD005,57,30,2200.0,4999.0
ST01,PRD006,55,30,400.0,999.0
ST01,PRD007,54,30,150.0,399.0
ST01,PRD008,48,30,1500.0,3299.0
ST01,PRD009,87,30,800.0,1899.0
ST01,PRD010,46,30,300.0,749.0
ST01,PRD011,83,30,500.0,1299.0
ST01,PRD012,87,30,1100.0,2499.0
ST01,PRD013,97,30,350.0,849.0
ST01,PRD014,74,30,700.0,1599.0
ST01,PRD015,45,30,4500.0,9999.0
ST01,PRD016,77,30,250.0,599.0
ST01,PRD017,67,30,3200.0,6999.0
ST01,PRD018,42,30,1200.0,2799.0
ST01,PRD019,41,30,600.0,1399.0
ST01,PRD020,45,30,400.0,999.0
ST01,PRD021,53,30,750.0,1699.0
ST01,PRD022,54,30,1100.0,2499.0
ST01,PRD023,72,30,200.0,499.0
ST01,PRD024,78,30,350.0,899.0
ST01,PRD025,41,30,650.0,1499.0
ST01,PRD026,75,30,150.0,399.0
ST01,PRD027,52,30,80.0,249.0
ST01,PRD028,85,30,200.0,499.0
ST01,PRD029,81,30,90.0,229.0
ST01,PRD030,84,30,70.0,179.0
ST01,PRD031,74,30,300.0,699.0
ST01,PRD032,66,30,180.0,449.0
ST01,PRD033,54,30,220.0,549.0
ST01,PRD034,68,30,320.0,649.0
ST01,PRD035,77,30,500.0,1099.0
ST01,PRD036,57,30,450.0,1099.0
ST01,PRD037,91,30,350.0,799.0
ST01,PRD038,95,30,900.0,2199.0
ST01,PRD039,40,30,400.0,999.0
ST01,PRD040,88,30,120.0,299.0
ST02,PRD001,91,30,450.0,899.0
ST02,PRD002,50,30,1800.0,3499.0
ST02,PRD003,84,30,350.0,799.0
ST02,PRD004,67,30,900.0,1999.0
ST02,PRD005,61,30,2200.0,4999.0
ST02,PRD006,57,30,400.0,999.0
ST02,PRD007,49,30,150.0,399.0
ST02,PRD008,53,30,1500.0,3299.0
ST02,PRD009,88,30,800.0,1899.0
ST02,PRD010,61,30,300.0,749.0
ST02,PRD011,46,30,500.0,1299.0
ST02,PRD012,45,30,1100.0,2499.0
ST02,PRD013,64,30,350.0,849.0
ST02,PRD014,46,30,700.0,1599.0
ST02,PRD015,250,20,4500.0,9999.0
ST02,PRD016,94,30,250.0,599.0
ST02,PRD017,62,30,3200.0,6999.0
ST02,PRD018,78,30,1200.0,2799.0
ST02,PRD019,56,30,600.0,1399.0
ST02,PRD020,91,30,400.0,999.0
ST02,PRD021,42,40,750.0,1699.0
ST02,PRD022,86,30,1100.0,2499.0
ST02,PRD023,69,30,200.0,499.0
ST02,PRD024,74,30,350.0,899.0
ST02,PRD025,47,30,650.0,1499.0
ST02,PRD026,99,30,150.0,399.0
ST02,PRD027,64,30,80.0,249.0
ST02,PRD028,45,30,200.0,499.0
ST02,PRD029,75,30,90.0,229.0
ST02,PRD030,58,30,70.0,179.0
ST02,PRD031,93,30,300.0,699.0
ST02,PRD032,80,30,180.0,449.0
ST02,PRD033,79,30,220.0,549.0
ST02,PRD034,96,30,320.0,649.0
ST02,PRD035,95,30,500.0,1099.0
ST02,PRD036,63,30,450.0,1099.0
ST02,PRD037,76,30,350.0,799.0
ST02,PRD038,52,30,900.0,2199.0
ST02,PRD039,85,30,400.0,999.0
ST02,PRD040,44,30,120.0,299.0
ST03,PRD001,42,30,450.0,899.0
ST03,PRD002,82,30,1800.0,3499.0
ST03,PRD003,54,30,350.0,799.0
ST03,PRD004,89,30,900.0,1999.0
ST03,PRD005,58,30,2200.0,4999.0
ST03,PRD006,45,30,400.0,999.0
ST03,PRD007,94,30,150.0,399.0
ST03,PRD008,18,50,1500.0,3299.0
ST03,PRD009,95,30,800.0,1899.0
ST03,PRD010,46,30,300.0,749.0
ST03,PRD011,64,30,500.0,1299.0
ST03,PRD012,57,30,1100.0,2499.0
ST03,PRD013,69,30,350.0,849.0
ST03,PRD014,80,30,700.0,1599.0
ST03,PRD015,93,30,4500.0,9999.0
ST03,PRD016,63,30,250.0,599.0
ST03,PRD017,50,30,3200.0,6999.0
ST03,PRD018,63,30,1200.0,2799.0
ST03,PRD019,62,30,600.0,1399.0
ST03,PRD020,53,30,400.0,999.0
ST03,PRD021,82,30,750.0,1699.0
ST03,PRD022,57,30,1100.0,2499.0
ST03,PRD023,84,30,200.0,499.0
ST03,PRD024,99,30,350.0,899.0
ST03,PRD025,83,30,650.0,1499.0
ST03,PRD026,81,30,150.0,399.0
ST03,PRD027,44,30,80.0,249.0
ST03,PRD028,78,30,200.0,499.0
ST03,PRD029,80,30,90.0,229.0
ST03,PRD030,50,30,70.0,179.0
ST03,PRD031,74,30,300.0,699.0
ST03,PRD032,86,30,180.0,449.0
ST03,PRD033,55,30,220.0,549.0
ST03,PRD034,50,30,320.0,649.0
ST03,PRD035,69,30,500.0,1099.0
ST03,PRD036,64,30,450.0,1099.0
ST03,PRD037,57,30,350.0,799.0
ST03,PRD038,99,30,900.0,2199.0
ST03,PRD039,80,30,400.0,999.0
ST03,PRD040,84,30,120.0,299.0
